MedInc,HouseAge,AveRooms,Latitude,Longitude,MedHouseValue
3.2083,34,5.471264368,32.78,-115.56,0.762
5.7049,9,6.699570815,34.66,-118.17,1.732
1.6125,52,3.135135135,37.78,-122.4,1.125
5.2586,17,6.945035461,38.69,-121.26,1.37
5.038,9,5.428415301,38.42,-122.79,1.856
2.5667,40,6.512048193,34.52,-120.39,2.393
4.75,21,4.602739726,37.93,-121.22,1.214
5.4727,34,6.312785388,34.21,-118.15,2.389
6.3735,8,5.339130435,38.09,-122.19,1.663
1.5,12,4.176980198,32.71,-117.09,1.063
2.8793,42,5.062730627,34.05,-118.36,2.021
4.3162,26,5.693877551,34.7,-120.48,1.364
5.6454,52,5.086142322,34.04,-118.42,5.00001
4.6,27,6.304347826,38.65,-121.34,1.99
6.3434,30,6.042959427,33.89,-118.39,4.604
5.8325,26,5.350140056,37.54,-122,2.989
1.852,40,3.967863894,34,-118.27,1.015
4.84,21,6.101190476,33.99,-117.49,1.164
2.8061,14,4.879807692,33.66,-117.97,1.803
2.8819,33,5.022779043,33.19,-117.37,2.086
7.0326,10,6.670967742,38.37,-121.13,2.411
1.5911,29,4.570928196,36.07,-119.02,0.608
1.3785,47,4.310344828,37.85,-122.27,1.423
3.815,37,5.783549784,38.25,-122.05,0.99
5.0796,35,6.112359551,34.19,-118.5,2.283
2.6477,32,5.885964912,35.13,-117.28,0.533
6.2488,16,5.461538462,33.71,-117.9,2.52
3.038,12,5.912820513,33.57,-116.87,1.281
2.3438,26,4.541832669,33.61,-117.71,0.723
5.0142,15,5.981954887,33.99,-117.95,2.699
4.8286,17,6.518672199,32.87,-116.96,1.585
6.9308,18,6.704761905,33.88,-117.83,2.317
6.4319,34,6.514044944,33.95,-118.11,4.523
3.0613,34,4.521444695,32.58,-117.12,1.367
3.0903,10,5.988235294,38.72,-121.42,0.919
3.4402,40,4.603818616,33.93,-118.2,1.494
1.4444,32,2.22556391,33.78,-118.25,1.821
6.5253,14,6.559139785,38.51,-121.55,2.168
3.3929,13,8.580645161,39.14,-122.7,1.083
5.3106,27,5.375722543,33.8,-118.3,2.683
4.3889,41,5.741007194,34.15,-118.4,3.804
4.2837,16,4.214046823,37.36,-121.96,2.645
5.5693,38,7.263888889,37.99,-121.23,1.531
5.0853,26,5.916496945,33.68,-117.89,2.603
4.5972,19,9.791139241,34.21,-117.12,1.239
5.2987,18,6.159325211,34.32,-118.41,2.034
4.4697,26,5.943925234,37.72,-121.93,2.213
2.9185,27,4.408878505,34.21,-119.19,2.245
8.2827,24,8.460972018,34.15,-117.87,4.514
1.9531,30,4.097560976,33.99,-118.27,1
4.2098,35,5.673151751,32.79,-117.13,1.741
1.7558,34,3.359430605,34.09,-118.36,3.125
4.7188,36,6.008333333,32.8,-117.09,1.741
4.0282,16,5.842592593,39,-121.3,1.264
2.5139,50,4.547400612,37.78,-122.28,2.19
3.1977,31,3.641221374,36.58,-121.9,2.893
3.0729,37,5.396491228,32.62,-117.09,1.287
5.2907,34,6.507117438,32.8,-116.99,1.958
2.3882,43,3.590225564,37.77,-122.24,1.625
3.2708,33,4.431906615,34,-118.42,3.25
12.8665,37,7.457564576,34.07,-118.48,5.00001
4.9519,31,5.896049896,37.4,-122.11,5.00001
2.425,17,3.479127135,34.21,-118.43,1.755
3.7466,29,5.446315789,33.86,-118.27,1.686
7.7042,32,6.627538071,33.79,-118.38,5.00001
3.1086,10,7.329696025,33.72,-116.26,1.058
4.3911,21,5.976027397,36.35,-119.65,1.079
2.0087,36,3.494147157,33.98,-118.19,1.721
2.2031,27,4.412935323,33.95,-118.3,0.969
4.0938,5,6.28125,33.92,-117.22,1.309
2.4267,35,3.556377079,33.95,-118.2,1.515
